t,dt,x,y,z,dcSun,dsSun,Rsun,dcMer,dsMer,tRhMer,Rmer,dcVen,dsVen,tRhVen,Rven,dcEar,dsEar,tRhEar,Rear,dcMar,dsMar,tRhMar,Rmar,dcJup,dsJup,tRhJup,Rjup,dcSat,dsSat,tRhSat,Rsat,dcUra,dsUra,tRhUra,Rura,dcNep,dsNep,tRhNep,Rnep,a,perihel,e,Porb,KL,inc,Omg,omg,f,E,J,enc,pln
3003.003, 0.004, -0.431632, -0.049249, -0.020047,0.432766057,0.428115590,0.004650467,0.415405529,0.415389219,0.004425363,0.000016310,1.150709832,1.150669378,0.020277171,0.000040454,1.212071976,1.212029342,0.030012609,0.000042634,1.311925581,1.311902921,0.021739010,0.000022660,5.099124435,5.098657109,1.065638290,0.000467326,10.201673884,10.201284627,1.307345307,0.000389257,20.248673870,20.248504336,1.405851942,0.000169534,29.957701441,29.957536839,2.326689528,0.000164601,0.525782820,0.433864217,0.174822,  0.380994, 0.951340887,  14.9,  -3.5, 200.5, 349.8,-1.122410E-04,3.534892E-03,   ,
3103.103, 0.009, +0.566394, +0.221632, +0.069520,0.610284009,0.605633541,0.004650467,0.607273010,0.607256700,0.004425361,0.000016310,1.062955699,1.062915245,0.020277463,0.000040454,1.155092137,1.155049503,0.030012396,0.000042634,2.176000727,2.175978067,0.021740127,0.000022660,5.723722249,5.723254923,1.065541972,0.000467326,9.117234254,9.116844997,1.308119719,0.000389257,19.266557629,19.266388095,1.406052378,0.000169534,30.123641511,30.123476910,2.326733200,0.000164601,0.522944700,0.433711977,0.170635,  0.377914, 0.952236036,  14.9,  -4.1, 205.8, 180.5,-1.122410E-04,3.534892E-03,   ,
3203.203, 0.007, -0.329115, -0.275179, -0.079471,0.434465687,0.429815220,0.004650467,0.087875017,0.087858707,0.004425361,0.000016310,0.534461217,0.534420763,0.020277357,0.000040454,0.959242901,0.959200266,0.030011931,0.000042634,1.443104552,1.443081891,0.021738791,0.000022660,5.378622015,5.378154689,1.065516638,0.000467326,9.540792911,9.540403654,1.308332558,0.000389257,19.226126224,19.225956690,1.406001045,0.000169534,29.942448619,29.942284017,2.326798452,0.000164601,0.525142302,0.431692763,0.177951,  0.380298, 0.951239396,  14.8,  -4.5, 203.8,  21.5,-1.122410E-04,3.534892E-03,   ,
3303.303, 0.004, +0.467131, +0.370022, +0.108609,0.604104459,0.599453992,0.004650467,0.319862058,0.319845747,0.004425354,0.000016310,0.396971621,0.396931167,0.020277350,0.000040454,1.516175479,1.516132844,0.030012540,0.000042634,0.833809294,0.833786634,0.021739611,0.000022660,6.062110750,6.061643424,1.065618108,0.000467326,8.880920060,8.880530803,1.307710420,0.000389257,18.746117528,18.745947993,1.406171446,0.000169534,29.309073476,29.308908875,2.326702532,0.000164601,0.522665594,0.432859301,0.171824,  0.377611, 0.952240446,  14.8,  -5.1, 205.6, 198.8,-1.122410E-04,3.534892E-03,   ,
3403.403, 0.007, -0.131827, -0.420680, -0.114557,0.456228766,0.451578299,0.004650467,0.224810203,0.224793892,0.004425352,0.000016310,0.752568080,0.752527626,0.020277281,0.000040454,0.707853460,0.707810825,0.030012677,0.000042634,1.937602061,1.937579401,0.021738581,0.000022660,5.167050445,5.166583118,1.065557385,0.000467326,9.235147034,9.234757777,1.308058281,0.000389257,18.423124610,18.422955076,1.406312300,0.000169534,29.915785258,29.915620657,2.326679203,0.000164601,0.517918007,0.429616436,0.170493,  0.372478, 0.952357380,  14.9,  -5.5, 206.1,  52.4,-1.122410E-04,3.534892E-03,   ,
3503.504, 0.005, +0.316654, +0.478150, +0.133994,0.587137340,0.582486872,0.004650467,0.837178879,0.837162569,0.004425362,0.000016310,1.295805165,1.295764711,0.020277391,0.000040454,1.576406277,1.576363643,0.030012057,0.000042634,2.090224655,2.090201994,0.021740562,0.000022660,5.748470328,5.748003002,1.065594063,0.000467326,9.971305311,9.970916054,1.307688076,0.000389257,19.960798615,19.960629080,1.405831719,0.000169534,29.412120941,29.411956340,2.326859074,0.000164601,0.522942514,0.431502438,0.174857,  0.377911, 0.952008902,  14.8,  -5.8, 205.9, 217.2,-1.122410E-04,3.534892E-03,   ,
3603.604, 0.006, +0.097294, -0.463634, -0.118823,0.490553611,0.485903144,0.004650467,0.518691558,0.518675248,0.004425364,0.000016310,1.185718114,1.185677660,0.020277422,0.000040454,0.553775993,0.553733359,0.030012432,0.000042634,1.089541687,1.089519026,0.021738321,0.000022660,4.706220089,4.705752763,1.065595556,0.000467326,9.624554113,9.624164856,1.307607344,0.000389257,20.010024944,20.009855410,1.405903294,0.000169534,29.687705748,29.687541147,2.327020196,0.000164601,0.514854169,0.430596844,0.163653,  0.369178, 0.953880898,  14.8,  -6.2, 206.6,  80.9,-1.122410E-04,3.534892E-03,   ,
3703.704, 0.010, +0.130507, +0.525649, +0.141466,0.560373502,0.555723035,0.004650467,1.017597103,1.017580793,0.004425353,0.000016310,0.641694070,0.641653616,0.020277225,0.000040454,1.366953919,1.366911285,0.030012696,0.000042634,1.448184569,1.448161909,0.021739487,0.000022660,5.025899588,5.025432262,1.065502594,0.000467326,10.366253109,10.365863852,1.308051902,0.000389257,18.665989983,18.665820449,1.405869485,0.000169534,30.243384317,30.243219715,2.327068710,0.000164601,0.518777045,0.422594067,0.185403,  0.373405, 0.950257929,  14.8,  -6.6, 207.4, 235.5,-1.122410E-04,3.534892E-03,   ,
3803.804, 0.004, +0.313368, -0.408677, -0.096921,0.528368789,0.523718322,0.004650467,0.847002366,0.846986055,0.004425363,0.000016310,0.377527965,0.377487511,0.020277360,0.000040454,0.738321719,0.738279084,0.030012176,0.000042634,1.913143347,1.913120687,0.021739768,0.000022660,4.797651845,4.797184519,1.065563789,0.000467326,9.414877686,9.414488429,1.307463703,0.000389257,18.848635020,18.848465486,1.406000421,0.000169534,29.736299405,29.736134804,2.327091512,0.000164601,0.511268821,0.422633775,0.173363,  0.365328, 0.952452368,  14.7,  -6.8, 205.3, 108.0,-1.122410E-04,3.534892E-03,   ,
3903.904, 0.009, -0.076766, +0.500953, +0.127964,0.525947561,0.521297094,0.004650467,0.907661205,0.907644895,0.004425352,0.000016310,0.790624087,0.790583633,0.020277309,0.000040454,0.988774785,0.988732151,0.030012084,0.000042634,1.440723731,1.440701071,0.021738212,0.000022660,4.580838096,4.580370770,1.065448039,0.000467326,9.311108792,9.310719535,1.308150875,0.000389257,18.958945255,18.958775721,1.406097636,0.000169534,30.744732702,30.744568101,2.327077756,0.000164601,0.513266902,0.419423051,0.182836,  0.367472, 0.950908658,  14.7,  -7.2, 211.6, 253.8,-1.122410E-04,3.534892E-03,   ,
